symbol
ABCC5
ABHD12
ACOT1
ACSL3
ADAMTS13
ADIPOQ
AHCY
AIFM2
AKR1C1
AKR1C2
AKR1C3
AKT1S1
ALDH3A2
AR
ARF6
ARNTL
ASAH2
ATF2
ATF4
BCAT2
BEX1
BRD2
BRD3
BRD4
BRDT
CA9
CAMKK2
CAV1
CBS
CD44
CDC25A
CDH1
CDKN1A
CHMP1A
CHMP5
CHMP6
CISD1
CISD2
CISD3
COPZ1
CP
CREB1
CREB3
CREB5
CircFNDC3B
CircIL4R
CircPVT1
DAZAP1
DECR1
DHODH
ECH1
ENO3
ENPP2
ETV4
EZH2
FABP4
FADS2
FANCD2
FGF21
FH
FNDC5
FTH1
FTL
FTMT
FURIN
FXN
FZD7
Fer1HCH
G6PD
GALNT14
GCH1
GCLC
GDF15
GLRX5
GOT1
GPX4
GSTM1
HCAR1
HELLS
HIF1A
HMOX1
HSF1
HSPA5
HSPB1
IDH2
IL6
ISCU
JUN
KDM3B
KDM4A
KIF20A
KLHDC3
LAMP2
LCN2
LINC00336
LINC01833
MAPKAP1
MARCHF5
MEF2C
MEG8
MGST1
MIR130B
MIR137
MIR17
MIR18A
MIR190A
MIR212
MIR214
MIR27A
MIR424
MIR4443
MIR522
MIR545
MIR670
MIR9-1
MIR9-2
MIR9-3
MIR9-3HG
MLST8
MPC1
MS4A15
MT1G
MTF1
MTOR
MUC1
NCOA3
NEAT1
NEDD4
NEDD4L
NF2
NFE2L2
NFS1
NOS2
NQO1
NR4A1
NR5A2
NT5DC2
NUPR1
OIP5-AS1
OTUB1
P4HB
PANX2
PARK7
PARP1
PARP10
PARP11
PARP12
PARP14
PARP15
PARP16
PARP2
PARP3
PARP4
PARP6
PARP8
PARP9
PDK4
PDSS2
PEDS1
PIK3CA
PIR
PLA2G6
PLIN2
PML
PPARA
PPARD
PPP1R13L
PRDX1
PRDX6
PRKAA2
PROK2
PROM2
PRR5
PTPN18
RARRES2
RB1
RBMS1
RELA
RHEBP1
RICTOR
RNF113A
RPTOR
RRM2
SCD
SENP1
SESN2
SIAH2
SIRT1
SIRT2
SIRT3
SIRT6
SLC16A1
SLC3A2
SLC40A1
SLC7A11
SMPD1
SOX2
SQSTM1
SRC
SREBF1
SREBF2
SRSF9
STAT3
STK11
SUV39H1
TERT
TF
TFAM
TFAP2A
TFRC
TMBIM4
TMEM161B-DT
TMSB4X
TMSB4Y
TP53
TP63
TRIB2
TXN
TYRO3
USP11
USP35
VCP
VDAC2
VDR
ZFP36
circ-TTBK2
circ0097009
circDTL
circEPSTI1
circGFRA1
circKIF4A
circRHBG
circRHOT1
circRNA1615
circ_0007142
circ_0067934
miR-7-5p
mmu_circRNA_0000309
