symbol
ABCC1
ACADSB
ACO1
ACSF2
ACSL1
ACSL4
ACVR1B
ADAM23
AEBP2
AGPAT3
AGPS
ALOX12
ALOX12B
ALOX15
ALOX15B
ALOX5
ALOXE3
AMN
ANO6
AQP3
AQP5
AQP8
ARHGEF26-AS1
ASMTL-AS1
ATF3
ATF4
ATG13
ATG16L1
ATG3
ATG4D
ATG5
ATG7
ATM
ATP5MC3
BACH1
BAP1
BECN1
BID
BRD7
BRPF1
CARS1
CCDC6
CD82
CDCA3
CDKN2A
CDO1
CFL1
CGAS
CHAC1
CHP1
CIRBP
CLTRN
COX4I2
CPEB1
CS
CTSB
CYB5R1
CYBB
CYGB
CYP4F8
CircKDM4C
DCAF7
DDR2
DLD
DNAJB6
DPEP1
DPP4
DUOX1
DUOX2
EGFR
EGLN2
EGR1
ELAVL1
ELOVL5
EMC2
EPAS1
EPT1
FADS1
FADS2
FAR1
FBXW7
FLT3
FOXO4
G6PD
G6PDX
GABARAPL1
GABARAPL2
GJA1
GLS2
GOT1
GPAT4
GRIA3
GSK3B
GSTZ1
H19
HDDC3
HIF1A
HILPDA
HMGB1
HMOX1
HOTAIR
HRAS
IDH1
IDO1
IFNA1
IFNA10
IFNA13
IFNA14
IFNA16
IFNA17
IFNA2
IFNA21
IFNA4
IFNA5
IFNA6
IFNA7
IFNA8
IFNG
IL1B
IL6
INTS2
IREB2
KDM5A
KDM5C
KDM6B
KEAP1
KLF2
KMT2D
KRAS
LCE2C
LGMN
LIFR
LIG3
LINC00472
LINC00618
LONP1
LPCAT3
LPIN1
LYRM1
MAP1LC3A
MAP3K11
MAP3K14
MAPK1
MAPK14
MAPK3
MAPK8
MAPK9
MDM2
MDM4
MEG3
METTL14
MFN2
MIB1
MIB2
MICU1
MIOX
MIR135B
MIR15A
MIR214
MIR302A
MIR324
MIR335
MIR375
MIR5096
MIR539
MIR6852
MIR761
MLLT1
MMD
MT1DP
MTCH1
MTDH
MYB
MYCN
NCOA4
NDRG1
NOX1
NOX3
NOX4
NOX5
NR1D1
NR1D2
NRAS
OSBPL9
PANX1
PAQR3
PEBP1
PEX10
PEX12
PEX2
PEX3
PEX6
PGD
PGRMC1
PHF21A
PHKG2
PIEZO1
PIK3CA
POM121L12
POR
PPARG
PRKAA1
PRKAA2
PRKCA
PTEN
PTPN6
PVT1
QSOX1
RPL8
SAT1
SCP2
SIRT1
SIRT3
SLC11A2
SLC1A5
SLC25A28
SLC38A1
SLC39A14
SLC39A7
SLC7A11
SMAD7
SMG9
SMPD1
SNCA
SNX4
SNX5
SOCS1
STING1
TAFAZZIN
TBK1
TF
TFR2
TFRC
TGFB1
TGFBR1
TIMM9
TIMP1
TLR4
TNFAIP3
TOR2A
TP53
TRIM21
TRIM26
TRIM46
TSC1
TTPA
ULK1
ULK2
USP11
USP7
VDAC2
WIPI1
WIPI2
WWTR1
YAP1
YTHDC2
YY1AP1
ZEB1
ZFAS1
circPSEN1
hsa_circ_0008367
lncRNA AABR07017145.1
miR-182-5p
miR-378a-3p
